Company Name,Symbol
CChennai Petroleum Corporation,659.45Invest
MMMTC,64.05Invest
MMamaearth,300.40Invest
HHEG,487.00Invest
CCE Info Systems,"1,736.05Invest"
KKama Holdings,"2,937.00Invest"
AAditya Birla Fashion & Retail,81.20Invest
HHappiest Minds Technologies,592.10Invest
AAlok Industries,18.21Invest
MMaharashtra Seamless,667.50Invest
TTTK Prestige,656.00Invest
LLatent View Analytics,419.85Invest
RRashtriya Chemicals & Fertilizers,158.90Invest
NNetwork 18 Media,56.00Invest
TTanla Platforms,624.45Invest
EESAB India,"5,429.50Invest"
VVarroc Engineering,551.00Invest
GGujarat State Fertilizers & Chemicals,209.95Invest
CCera Sanitaryware,"6,511.90Invest"
GGarware Technical Fibres,815.00Invest
CCampus Activewear,263.85Invest
GGalaxy Surfactants,"2,225.50Invest"
GGujarat Narmada Valley Fert & Chem,531.90Invest
MMastek,"2,488.30Invest"
SSheela Foam,701.50Invest
PPraj Industries,407.00Invest
JJust Dial,833.00Invest
SSterling & Wilson Renewable Energy,278.70Invest
KKNR Constructions,199.00Invest
AAjanta Pharma,"2,640.15Invest"
